actual_kwp,pred_kwp,actual_batt_kwh,pred_batt_kwh
10.45,8.79,7.00,7.00
6.65,8.07,0.00,5.00
20.43,10.69,15.00,10.00
7.60,10.00,3.00,9.00
5.22,8.07,7.00,5.00
6.65,6.89,0.00,6.50
5.70,7.80,5.00,7.00
8.07,11.65,5.00,9.00
9.50,12.36,7.00,9.50
10.45,11.10,10.00,7.00
5.00,11.10,5.00,9.00
6.17,10.86,0.00,10.00
8.00,9.50,0.00,9.50
8.00,12.13,10.00,11.90
8.00,12.35,10.00,10.00
8.07,10.86,3.00,7.00
5.70,6.47,5.00,6.00
8.00,9.50,5.00,8.50
9.03,10.69,3.00,7.50
17.57,11.41,15.00,10.00
5.70,9.74,7.00,8.00
3.68,9.74,5.00,9.00
9.97,7.50,0.00,8.00
8.07,9.50,7.00,8.00
5.70,7.36,5.00,6.00
6.17,6.65,3.00,7.00
9.50,8.79,7.00,8.00
5.70,11.65,7.00,10.00
10.45,10.22,0.00,7.00
12.35,10.69,10.00,10.00
10.45,9.03,10.00,10.00
16.63,12.13,10.00,10.00
12.82,7.60,7.00,5.50
7.13,10.69,3.00,9.00
5.70,6.65,0.00,7.00
8.00,11.65,0.00,9.00
5.70,12.36,7.00,9.00
7.60,10.22,5.00,9.00
3.68,7.50,5.00,7.00
8.00,11.16,10.00,9.00
10.45,11.64,0.00,10.00
9.50,10.69,10.00,10.00
5.00,9.50,5.00,10.00
18.52,10.50,4.60,8.50
6.65,6.24,7.00,6.00
9.50,9.74,5.00,8.00
9.97,8.79,10.00,9.00
10.45,13.06,10.00,10.00
14.72,9.03,5.00,9.00
9.97,10.46,10.00,9.00
6.17,6.47,5.00,6.00
12.82,7.13,7.00,8.50
9.97,9.74,5.00,9.00
6.00,10.21,5.00,10.00
6.65,9.26,7.00,8.00
5.22,8.79,0.00,8.00
9.03,12.11,10.00,10.00
14.25,14.61,21.00,9.00
15.00,9.50,0.00,9.00
19.95,10.69,7.00,9.00
9.50,7.50,5.00,7.50
5.00,8.07,5.00,8.00
13.30,10.21,7.00,7.00
6.65,7.80,5.00,6.50
10.93,10.15,7.00,10.00
8.55,9.91,7.00,7.00
6.17,7.60,5.00,7.00
11.88,11.16,10.00,8.00
9.03,10.21,5.00,9.50
5.00,11.65,5.00,9.00
22.32,9.97,10.00,9.00
10.93,8.31,7.00,6.00
9.03,9.26,7.00,7.00
9.50,11.65,5.00,10.00
6.17,7.50,10.00,7.00
7.13,9.03,0.00,5.00
4.75,7.70,3.00,7.00
8.07,11.10,7.00,9.00
8.00,7.60,5.00,9.00
12.35,7.03,5.00,6.00
6.65,10.63,5.00,9.00
10.00,10.45,7.00,9.00
26.60,16.86,10.00,10.00
9.97,6.85,7.00,5.80
7.60,8.55,7.00,7.00
5.00,9.97,7.00,7.00
9.03,11.65,5.00,10.00
7.60,9.02,7.00,7.00
5.00,10.80,5.00,9.00
8.55,8.55,5.00,6.00
9.97,13.07,10.00,10.00
11.40,8.31,10.00,9.50
7.60,12.35,5.00,10.00
10.00,8.55,10.00,9.00
10.00,11.40,5.00,9.00
8.00,9.50,14.00,10.00
11.40,10.21,7.00,8.00
8.00,7.50,5.00,6.50
26.13,12.35,10.00,10.00
7.60,10.63,10.00,9.00
5.70,7.03,7.00,7.00
14.25,10.15,10.00,9.00
6.00,8.79,0.00,10.00
5.00,11.41,7.00,10.00
27.55,13.30,4.60,9.50
5.00,7.26,7.00,5.00
7.13,9.74,10.00,7.00
10.45,9.74,7.00,9.50
8.55,10.21,7.00,10.00
10.00,8.80,7.00,9.00
11.40,11.88,14.00,10.00
10.93,10.93,10.00,10.00
12.35,9.26,10.00,9.50
9.50,9.50,7.00,8.00
11.40,9.97,10.00,10.00
7.13,10.21,5.00,9.00
8.55,10.21,7.00,8.00
5.70,9.26,5.00,9.50
12.35,14.25,10.00,10.00
6.65,8.31,7.00,7.00
15.68,10.69,10.00,10.00
10.45,7.84,0.00,7.00
6.65,8.28,7.00,5.55
10.00,13.78,7.00,9.00
10.93,13.54,10.00,10.00
15.68,13.78,10.00,11.90
6.65,8.79,7.00,7.00
19.95,11.81,14.00,10.00
6.65,7.13,5.00,5.00
7.13,10.15,5.00,10.00
8.55,10.63,5.00,9.00
8.07,10.21,5.00,8.00
9.50,12.60,5.00,10.00
5.00,10.93,5.00,8.50
6.65,11.15,5.00,9.00
8.00,11.35,0.00,10.00
3.80,9.03,5.00,7.00
9.03,7.60,7.00,7.00
8.55,9.50,7.00,9.00
10.45,10.86,7.00,9.00
11.88,6.95,10.00,7.00
13.30,12.82,10.00,10.00
8.55,8.31,7.00,5.00
11.88,11.40,10.00,10.00
10.45,9.97,14.00,9.00
9.50,10.15,0.00,10.00
29.93,7.60,0.00,7.00
12.35,9.03,7.00,9.50
7.13,7.60,7.00,8.00
5.00,6.95,5.00,6.00
11.40,7.50,14.00,9.50
6.65,11.90,7.00,9.50
9.97,10.93,14.00,10.00
8.00,14.25,5.00,9.00
16.15,10.93,14.00,10.00
10.93,11.41,13.80,10.00
5.70,8.04,5.00,7.00
7.60,8.55,7.00,9.00
5.70,10.21,7.00,9.00
7.60,8.07,10.00,6.00
7.60,8.55,7.00,8.00
7.13,8.07,7.00,9.00
5.00,10.93,5.00,9.00
8.00,8.07,7.00,9.50
5.70,8.55,5.00,10.00
18.52,12.59,21.00,10.00
9.50,8.07,7.00,9.00
9.97,10.93,7.00,8.00
9.03,6.24,14.00,7.00
5.22,6.65,7.00,9.00
11.88,9.02,7.00,8.00
6.65,9.26,7.00,7.00
9.50,8.55,10.00,9.00
8.07,11.41,5.00,9.00
7.13,9.74,15.00,8.00
11.40,9.50,7.00,10.00
6.00,7.84,5.00,7.00
13.30,9.03,10.00,8.00
7.60,9.97,7.00,10.00
7.60,8.07,7.00,7.00
4.75,6.65,0.00,6.00
5.00,7.36,7.00,6.00
15.20,8.79,0.00,7.00
6.65,8.55,5.00,5.00
11.40,7.03,5.00,6.00
14.25,11.41,14.00,10.00
11.88,7.80,10.00,8.50
8.07,7.80,7.00,8.00
8.55,8.79,14.00,10.00
10.45,7.36,7.00,8.00
8.55,10.69,10.00,8.00
13.78,9.97,14.00,10.00
12.82,10.21,7.00,8.00
12.82,10.69,7.00,9.00
8.55,9.03,10.00,10.00
5.70,11.16,5.00,9.50
5.70,9.74,10.00,9.00
9.50,11.40,10.00,9.00
4.75,8.55,0.00,9.50
23.75,8.75,10.00,9.50
10.45,10.21,10.00,9.00
5.70,7.84,5.00,9.00
10.93,9.68,7.00,8.00
9.03,11.89,10.00,10.00
4.75,12.82,14.00,9.50
9.03,8.55,10.00,9.50
8.55,9.50,7.00,10.00
15.20,12.13,15.00,9.50
9.97,7.26,5.00,6.50
5.70,8.07,10.00,5.00
3.33,6.47,0.00,6.00
13.78,11.10,7.00,9.00
7.60,10.21,10.00,9.00
9.03,11.40,7.00,10.00
10.00,7.50,7.00,7.00
6.65,10.15,10.00,10.00
9.50,12.13,7.00,11.90
9.03,9.50,5.00,9.00
5.22,10.21,5.00,9.00
8.07,9.50,5.00,7.00
20.90,13.07,10.00,10.00
13.30,10.93,10.00,10.00
8.55,10.21,5.00,9.50
11.40,11.10,10.00,10.00
12.82,12.36,10.00,9.00
7.13,10.69,10.00,8.00
10.45,7.84,7.00,7.00
6.65,6.79,5.00,6.00
9.97,11.10,10.00,9.00
10.45,11.40,10.00,9.50
9.03,10.93,7.00,7.00
6.65,8.55,10.00,9.50
11.40,9.03,7.00,10.00
4.75,10.86,5.00,8.00
7.60,11.64,5.00,10.00
9.50,19.95,10.00,10.00
17.57,16.51,15.00,10.00
8.55,9.03,7.00,10.00
6.17,10.21,7.00,10.00
11.88,9.03,10.00,10.00
8.55,8.31,7.00,7.00
6.65,9.44,10.00,9.00
9.50,10.69,0.00,9.00
10.93,10.45,14.00,10.00
15.00,14.96,7.00,10.00
13.78,7.36,15.00,7.00
6.17,9.50,5.00,10.00
15.20,7.80,10.00,8.50
7.60,11.81,7.00,10.00
8.07,9.68,10.00,10.00
8.55,8.79,5.00,9.00
13.30,9.50,15.00,9.50
19.00,14.25,0.00,10.00
10.45,11.40,10.00,10.00
9.50,10.15,7.00,10.00
7.60,7.13,5.00,6.00
7.13,11.40,7.00,10.00
5.70,11.65,10.00,10.00
8.07,10.21,5.00,8.50
7.60,9.03,5.00,7.50
24.70,16.15,15.00,9.00
12.82,10.63,10.00,9.50
7.60,6.30,10.00,6.00
11.88,6.65,10.00,7.00
6.65,8.79,5.00,8.00
5.70,11.10,5.00,9.00
7.60,7.26,10.00,5.00
7.60,8.45,7.00,8.00
11.40,9.25,10.00,8.00
8.55,7.13,5.00,6.50
4.75,8.28,5.00,7.00
11.88,12.11,15.00,10.00
8.55,8.55,9.20,8.00
9.50,8.55,5.00,8.00
11.40,12.11,7.00,10.00
13.78,11.10,14.00,9.00
16.63,10.69,10.00,8.00
12.82,9.03,10.00,10.00
10.45,8.07,5.00,7.00
7.60,8.07,5.00,8.00
7.60,7.60,15.00,5.00
5.70,10.21,5.00,8.00
6.17,6.18,7.00,8.00
4.28,9.26,7.00,9.00
8.07,10.21,7.00,10.00
10.93,10.15,7.00,9.00
7.60,10.93,7.00,10.00
5.22,7.60,5.00,6.00
6.17,9.03,5.00,9.00
9.50,10.63,10.00,10.00
5.70,7.84,5.00,7.00
10.45,10.70,7.00,8.00
9.97,8.55,5.00,9.00
11.88,11.65,10.00,9.50
3.33,7.98,0.00,7.00
11.40,10.45,10.00,10.00
5.70,8.31,5.00,9.50
8.55,13.78,7.00,10.00
20.90,14.63,14.00,10.00
6.65,10.21,7.00,10.00
7.60,8.04,5.00,10.00
14.72,6.89,15.00,6.00
9.03,9.50,7.00,9.50
9.97,11.40,5.00,10.00
9.50,11.65,10.00,9.00
7.60,11.18,5.00,9.00
20.90,10.86,15.00,10.00
10.45,10.69,10.00,9.50
10.45,13.16,5.00,9.50
7.60,9.50,10.00,10.00
8.55,10.45,14.00,9.50
5.70,9.26,14.00,10.00
5.70,7.60,5.00,7.00
12.82,10.45,10.00,10.00
9.50,12.60,5.00,10.00
25.18,12.60,15.00,10.00
11.40,9.50,5.00,8.00
7.60,11.16,10.00,10.00
8.55,7.84,5.00,9.50
6.17,8.31,7.00,7.50
8.55,9.50,10.00,9.50
16.15,8.07,15.00,6.50
7.60,9.26,10.00,8.00
10.45,10.45,7.00,7.50
6.65,10.93,5.00,8.00
5.22,7.03,5.00,7.00
9.50,7.70,7.00,8.50
10.93,9.26,10.00,10.00
11.40,10.70,15.00,7.00
5.70,8.55,7.00,8.00
13.30,9.74,7.00,10.00
25.18,18.52,15.00,10.00
15.20,11.88,10.00,10.00
9.03,9.26,7.00,9.00
7.60,6.41,5.00,6.50
5.70,7.70,5.00,6.00
8.07,10.45,10.00,10.00
7.60,10.21,7.00,7.00
9.50,11.89,7.00,10.00
11.40,10.15,10.00,10.00
7.60,9.97,10.00,9.00
10.45,7.13,5.00,7.00
8.07,7.84,5.00,9.00
6.65,9.03,7.00,9.50
8.07,7.26,5.00,6.00
9.03,10.39,15.00,10.00
5.70,7.60,7.00,7.00
9.97,9.03,5.00,9.50
7.13,7.50,0.00,5.00
13.30,13.06,10.00,14.40
10.45,9.97,10.00,7.00
6.65,9.03,10.00,9.50
7.13,8.31,10.00,7.00
13.30,8.31,10.00,6.50
12.35,13.30,21.00,10.00
11.40,10.21,10.00,7.00
7.13,11.88,5.00,10.00
9.03,9.26,10.00,8.50
10.45,9.50,5.00,6.50
14.25,11.88,10.00,9.00
7.13,8.07,5.00,7.00
8.07,9.74,5.00,9.00
13.78,10.69,10.00,8.00
10.45,9.50,10.00,9.00
8.55,7.60,10.00,9.50
13.30,9.97,14.00,9.00
9.50,10.69,14.00,10.00
11.40,10.93,14.00,10.00
7.13,10.69,14.00,10.00
17.10,9.97,10.00,10.00
11.88,8.07,10.00,5.00
14.25,10.69,15.00,9.00
5.70,10.69,10.00,7.00
24.70,11.41,15.00,10.00
7.60,9.74,10.00,7.00
11.40,8.55,5.00,10.00
12.82,11.40,7.00,10.00
7.13,17.34,10.00,10.00
9.03,8.55,5.00,10.00
17.10,10.22,15.00,9.00
9.50,9.26,10.00,8.00
12.82,11.10,10.00,9.00
9.97,7.84,7.00,7.00
9.97,16.27,5.00,10.00
19.00,9.26,15.00,10.00
20.43,10.69,15.00,9.00
6.65,7.80,5.00,7.00
9.50,8.75,10.00,10.00
9.50,8.79,10.00,7.00
9.97,7.80,10.00,8.50
8.55,7.36,10.00,7.00
13.30,10.21,10.00,7.00
8.07,8.79,7.00,9.10
9.97,6.17,5.00,6.00
5.70,8.79,10.00,9.00
8.55,7.26,5.00,5.00
6.65,7.70,0.00,8.00
9.50,9.26,10.00,9.50
15.00,9.26,0.00,10.00
8.07,9.50,5.00,9.00
11.88,10.70,14.00,10.00
10.45,10.45,5.00,9.00
7.60,10.21,7.00,9.50
11.40,11.89,10.00,9.50
8.55,9.03,7.00,7.00
10.93,10.15,14.00,8.00
16.15,8.55,10.00,10.00
5.70,11.40,10.00,9.50
6.65,9.26,7.00,8.00
8.55,10.15,10.00,10.00
7.13,10.93,10.00,10.00
9.50,8.79,10.00,7.50
7.60,9.50,7.00,10.00
5.70,12.59,10.00,14.40
6.17,7.26,7.00,5.55
6.17,7.74,5.00,6.00
6.17,8.55,5.00,7.50
7.60,8.55,0.00,5.00
8.55,10.15,14.00,9.00
6.65,11.40,10.00,10.00
8.55,6.41,14.00,7.00
9.03,12.13,10.00,10.00
12.35,9.26,5.00,9.50
6.17,9.44,5.00,9.50
7.13,8.28,5.00,7.00
10.93,7.60,10.00,8.00
10.45,10.69,10.00,10.00
12.35,9.03,10.00,9.00
4.28,9.26,5.00,7.00
11.40,12.82,10.00,10.00
14.25,11.90,0.00,9.50
9.50,7.50,10.00,6.80
4.75,8.07,5.00,7.00
10.93,7.56,10.00,6.00
6.65,8.79,5.00,6.00
10.45,9.26,7.00,9.00
18.05,9.97,15.00,7.00
19.00,11.64,15.00,10.00
12.82,10.63,10.00,8.00
9.97,8.31,5.00,9.50
10.93,14.25,10.00,9.00
4.75,8.07,5.00,7.00
4.28,7.84,5.00,7.50
6.65,9.50,5.00,7.00
9.50,9.50,10.00,7.00
10.93,8.07,5.00,5.50
9.50,9.26,10.00,10.00
7.60,13.06,10.00,10.00
6.17,8.73,7.00,9.50
11.40,9.68,10.00,9.00
14.25,16.76,10.00,10.00
8.55,8.07,5.00,5.50
9.97,8.55,10.00,7.00
11.88,9.50,15.00,9.00
10.45,8.79,10.00,8.00
15.20,9.97,10.00,7.00
11.88,9.50,14.00,9.00
7.60,11.10,0.00,9.00
7.13,7.70,5.00,6.00
8.55,8.55,5.00,10.00
8.07,7.60,5.00,7.00
7.13,8.28,7.00,6.00
8.55,11.65,10.00,9.00
6.65,6.17,5.00,6.00
9.03,8.31,10.00,8.00
10.45,9.03,10.00,10.00
13.30,11.81,10.00,10.00
4.75,7.03,5.00,6.00
9.03,14.25,7.00,9.50
9.97,12.36,5.00,9.50
4.28,9.74,4.60,9.50
7.60,9.03,10.00,10.00
7.13,6.24,10.00,5.00
8.55,7.26,5.00,6.50
16.63,12.60,15.00,9.00
9.03,13.30,10.00,9.50
12.35,8.55,10.00,8.00
25.65,16.68,15.00,10.00
10.93,11.89,15.00,11.90
11.40,10.70,0.00,8.00
9.97,9.02,10.00,8.00
15.20,10.93,10.00,10.00
4.75,11.40,10.00,10.00
13.30,13.30,10.00,9.00
11.40,10.63,10.00,9.00
8.55,7.36,10.00,5.00
7.60,9.50,5.00,10.00
8.55,9.74,10.00,8.00
7.60,10.69,15.00,10.00
4.75,7.13,10.00,7.00
10.93,11.10,10.00,10.00
7.60,11.64,5.00,7.00
8.07,10.93,10.00,7.00
5.22,8.55,10.00,9.00
8.07,8.79,10.00,9.00
10.45,9.03,10.00,8.00
7.60,10.45,10.00,9.00
9.97,10.93,5.00,8.00
8.55,9.26,10.00,7.00
15.68,11.10,10.00,10.00
11.40,6.95,10.00,7.00
13.30,7.98,15.00,7.00
10.45,9.50,10.00,10.00
6.65,9.03,5.00,9.50
7.60,10.21,10.00,10.00
11.40,9.97,10.00,8.50
10.93,9.97,10.00,6.00
10.45,7.50,10.00,5.55
17.10,12.60,10.00,9.50
7.13,10.93,5.00,9.50
7.13,7.80,10.00,6.05
8.07,7.70,5.00,6.00
10.45,10.69,5.00,7.50
4.75,10.21,10.00,10.00
6.65,10.21,10.00,8.00
11.40,8.55,7.00,5.00
7.60,11.40,15.00,10.00
10.45,8.55,10.00,8.00
8.55,9.50,5.00,9.50
8.55,12.13,10.00,11.90
5.70,11.16,0.00,9.00
10.45,11.64,5.00,10.00
11.40,10.45,10.00,10.00
7.13,7.56,10.00,6.00
14.72,8.07,10.00,9.00
11.40,10.93,10.00,10.00
18.05,17.15,10.00,10.00
10.45,11.40,10.00,10.00
12.35,11.89,10.00,10.00
11.40,9.50,15.00,10.00
11.40,6.65,10.00,5.00
7.13,7.50,10.00,5.50
9.50,9.97,10.00,10.00
9.03,10.21,10.00,9.00
10.45,11.64,10.00,10.00
15.68,10.63,15.00,9.00
12.82,10.93,10.00,10.00
14.25,10.63,10.00,8.00
10.45,10.21,15.00,9.00
7.60,10.69,10.00,10.00
7.60,8.28,5.00,8.00
9.03,9.50,5.00,10.00
14.25,13.78,15.00,10.00
11.40,11.40,10.00,10.00
6.17,8.55,5.00,10.00
17.10,7.26,10.00,6.60
8.07,8.79,10.00,9.00
7.13,9.50,10.00,10.00
17.10,10.45,5.00,10.00
14.25,12.59,10.00,11.90
9.50,7.36,10.00,7.00
9.50,10.69,10.00,10.00
11.40,11.10,7.00,9.50
12.35,9.50,15.00,9.50
11.88,9.26,10.00,9.00
10.93,9.91,10.00,8.00
7.60,6.71,10.00,5.00
8.55,7.36,0.00,7.00
12.35,16.27,10.00,10.00
11.40,9.50,10.00,7.00
5.00,10.00,0.00,8.00
8.07,7.74,10.00,6.00
20.90,7.03,15.00,6.00
9.50,11.16,10.00,10.00
4.75,8.79,10.00,7.00
8.07,6.17,10.00,6.00
11.40,8.55,10.00,7.00
9.03,8.31,10.00,8.00
9.50,8.31,10.00,8.00
7.60,9.50,10.00,9.00
10.93,7.74,10.00,8.00
18.05,7.03,15.00,6.00
7.60,10.63,7.00,9.00
7.60,6.00,10.00,5.00
11.88,9.03,10.00,9.00
8.55,10.86,10.00,7.00
7.60,10.69,5.00,7.00
5.22,8.07,10.00,9.00
9.50,8.07,10.00,7.00
10.45,12.35,10.00,10.00
23.18,8.79,10.00,7.00
10.93,9.26,15.00,9.00
12.82,8.31,10.00,8.00
14.25,10.80,10.00,9.50
14.25,11.90,15.00,10.00
7.13,10.63,5.00,9.00
20.22,11.89,10.00,9.00
25.75,7.98,10.00,7.00
22.79,10.68,10.00,7.00
20.01,6.95,5.00,7.50
10.93,9.50,10.00,7.00
17.10,8.55,10.00,8.00
26.74,14.63,10.00,10.00
6.00,11.35,5.00,9.50
22.80,16.68,10.00,14.00
24.70,13.78,10.00,10.00
11.88,11.65,15.00,9.00
6.17,7.60,10.00,6.00
12.35,11.90,10.00,9.00
20.43,9.91,10.00,8.50
12.82,11.40,10.00,10.00
24.33,9.68,15.00,9.00
17.57,11.90,15.00,10.00
3.80,12.13,15.00,10.00
26.13,7.50,10.00,7.00
10.45,10.93,15.00,8.00
24.04,9.74,10.00,7.50
19.00,11.64,10.00,7.00
26.39,10.15,10.00,9.00
11.40,8.79,8.00,10.00
7.60,8.31,10.20,7.00
22.50,14.61,9.00,10.00
25.00,9.50,0.00,8.00
11.90,9.26,9.00,6.00
7.40,7.84,9.00,5.50
11.40,9.74,8.00,9.50
22.50,12.60,9.00,13.90
3.80,6.65,6.00,6.50
8.55,11.16,8.00,9.00
7.40,10.21,0.00,10.00
11.90,7.80,6.00,9.50
7.60,9.97,9.00,7.00
8.07,6.00,6.00,7.00
6.16,8.55,6.00,5.00
27.55,12.82,9.00,10.00
6.16,10.21,6.00,9.00
13.50,7.50,9.00,7.00
10.80,11.16,9.00,9.00
10.80,10.21,9.00,9.50
5.00,10.21,9.00,7.00
7.40,9.97,9.00,8.00
7.40,7.13,6.00,7.00
6.30,6.95,6.00,6.00
13.30,8.79,9.00,8.00
11.90,7.84,9.00,7.00
18.00,7.84,9.00,10.00
7.40,9.68,6.00,9.00
7.60,8.55,9.00,7.00
7.60,7.60,9.00,7.00
10.80,10.21,9.00,9.00
13.50,10.21,9.00,7.00
6.65,9.26,6.00,9.50
25.00,18.52,9.00,10.00
12.35,8.55,9.00,10.00
11.90,10.70,9.00,9.00
3.33,7.13,6.00,7.00
14.25,13.07,9.00,10.00
22.50,12.13,9.00,9.00
11.90,12.35,9.00,8.00
10.90,6.24,9.00,6.00
13.50,10.93,9.00,10.00
11.90,7.56,18.00,7.00
10.80,8.55,9.00,10.00
10.80,7.84,10.00,9.10
10.80,8.55,9.00,7.00
22.50,13.30,9.00,9.50
14.85,9.26,15.00,9.50
22.50,9.97,5.10,9.00
10.80,9.50,10.00,7.00
14.25,9.99,9.00,8.00
8.00,7.26,6.00,5.00
7.60,7.84,9.00,7.00
25.00,13.30,9.00,10.00
11.90,9.03,9.00,9.00
7.40,10.69,10.20,7.00
11.90,10.45,9.00,10.00
6.30,10.80,5.00,9.50
10.80,9.50,9.00,10.00
13.50,8.80,9.00,7.00
10.80,9.74,9.00,7.00
11.90,8.79,9.00,5.00
13.50,10.21,9.00,8.00
10.80,9.03,9.00,8.50
13.30,10.63,9.00,9.00
10.80,9.02,9.00,7.00
11.90,11.10,9.00,9.00
11.90,8.55,6.00,5.50
10.80,6.95,9.00,7.00
11.90,9.26,9.00,8.50
11.90,10.86,9.00,9.00
22.50,10.93,9.00,10.00
7.13,8.79,9.00,6.00
14.25,12.82,9.00,10.00
11.90,8.07,9.00,5.50
7.40,8.04,6.00,7.00
11.90,8.31,9.00,9.00
5.00,8.79,9.00,9.00
11.90,11.88,9.00,9.50
11.90,10.15,9.00,10.00
13.78,8.79,9.00,8.00
10.80,6.24,9.00,6.00
11.90,11.16,9.00,10.00
11.90,8.79,9.00,8.50
11.90,11.64,9.00,10.00
10.80,9.26,10.00,9.50
13.50,8.79,9.00,9.00
10.80,10.70,9.00,9.00
10.80,9.68,9.00,8.00
11.90,8.79,9.00,8.00
6.30,6.95,6.00,9.00
5.22,9.26,6.00,10.00
13.30,6.24,9.00,6.00
11.40,10.69,9.00,9.00
4.75,7.50,6.00,5.00
10.80,8.79,9.00,9.50
13.30,8.31,9.00,9.00
10.80,6.41,10.00,8.00
5.70,6.41,9.00,6.00
6.30,10.93,6.00,8.00
8.55,7.13,9.00,5.00
10.80,9.26,10.00,10.00
6.30,7.80,9.00,7.00
7.40,9.51,5.00,9.50
22.50,10.69,9.00,8.50
6.30,8.07,6.60,6.00
10.80,7.60,10.00,7.00
3.80,10.69,6.00,9.00
10.80,10.45,9.00,10.00
10.80,11.89,9.00,9.50
4.75,7.13,6.00,7.00
7.60,11.10,9.00,9.00
11.90,11.10,6.00,9.00
13.50,18.52,9.00,10.00
10.80,9.26,10.00,9.50
17.10,10.93,15.00,10.00
11.90,9.50,9.00,7.00
11.90,6.71,5.00,6.00
15.30,19.95,15.00,10.00
11.90,8.55,9.00,7.00
11.90,11.88,9.00,10.00
10.80,12.11,9.00,10.00
7.40,9.74,5.00,9.00
7.40,8.55,5.00,7.00
6.30,6.41,6.00,7.00
14.25,12.13,9.00,9.00
12.35,15.20,9.00,9.50
11.90,13.07,9.00,10.00
7.40,8.79,9.00,9.60
6.30,9.26,6.60,9.00
6.30,10.40,6.00,9.00
10.80,11.18,10.00,8.00
7.40,8.75,9.00,7.00
3.80,8.07,6.00,5.00
12.50,10.70,9.00,8.00
7.40,7.36,6.00,5.50
11.90,10.80,9.00,9.50
11.90,10.21,9.00,7.00
14.00,8.31,5.00,7.00
8.07,7.50,9.00,8.00
7.40,9.03,3.30,9.00
7.40,8.04,6.00,6.00
22.50,9.50,9.00,10.00
5.70,11.41,6.00,9.00
14.25,8.31,9.00,7.00
7.40,9.26,9.00,5.00
11.90,6.65,9.00,5.00
6.17,9.26,6.00,10.00
11.90,9.26,9.00,9.50
11.90,9.50,10.00,7.00
10.80,8.31,9.00,8.50
6.30,7.36,5.00,6.00
11.90,10.69,9.00,10.00
14.96,15.44,15.30,10.00
22.50,10.93,9.00,10.00
14.72,10.93,9.00,10.00
10.80,11.90,9.00,9.50
11.90,9.50,9.00,10.00
7.40,13.07,9.00,10.00
11.90,8.55,5.00,9.50
11.90,7.60,9.00,8.00
11.90,9.26,9.00,10.00
10.80,6.89,10.00,7.00
11.90,10.63,10.00,9.00
5.70,9.51,9.00,10.00
6.30,7.70,9.00,5.00
12.50,9.74,9.00,10.00
11.90,11.64,9.00,11.90
13.50,11.89,9.00,8.00
10.80,11.65,9.00,9.50
10.80,6.24,10.00,5.50
11.90,11.18,9.00,10.00
11.90,8.79,9.00,10.00
6.30,10.00,9.00,7.00
5.70,13.78,9.00,10.00
7.40,7.60,6.00,8.00
4.75,6.65,6.00,8.00
22.50,14.61,9.00,9.50
18.00,10.21,9.00,10.00
10.80,6.65,9.00,5.00
14.25,10.69,9.00,10.00
10.80,10.45,9.00,9.00
11.90,9.50,9.00,7.00
6.30,10.21,5.00,10.00
6.30,6.47,9.00,6.00
22.50,11.88,9.00,9.50
11.90,13.78,9.00,9.00
11.90,13.07,5.00,10.00
11.90,7.50,5.10,6.50
10.80,9.03,9.00,10.00
22.80,11.10,15.30,10.00
12.35,7.36,9.00,6.00
11.90,7.26,9.00,6.00
10.56,10.63,10.20,7.00
22.50,10.93,9.00,10.00
11.90,9.50,5.00,9.00